fetchingDate,creationDate,author,authorLink,articleLink,articleTitle,articleText
2026-08-04 05:53:21,"Published July 30, 2026",CyberSecurityDive,https://www.cybersecuritydive.com/,https://www.cybersecuritydive.com/news/hackers-microsoft-teams-ransomware-it-support/826591/,Hackers abuse Microsoft Teams in ransomware campaign through fake IT support,"Dozens of North American companies have been targeted in a social engineering campaign that abuses Microsoft Teams to deploy ransomware, according to a report by cybersecurity firm Sophos.
A threat group, tracked as STAC4749, has initiated chats or calls through Microsoft Teams under the guise of providing help desk or IT support to companies in the U.S. and Canada. 
After initiating a remote session through Microsoft Quick Assist or the cloud-based RemSupp tool, hackers deploy PowerShell in order to establish persistence and execute malicious payloads. 

The attacks come months after a Rapid7 report of Iran-linked MuddyWater conducting a false-flag campaign where they presented themselves as financially motivated actors. Sophos researchers explored possible links, but they believe the STAC4749 attacks are actually linked to a criminal actor.
“Based on the evidence we observed, this activity is most consistent with a financially motivated cybercriminal operation rather than state-sponsored actors,” said Morgan Demboski, threat intelligence analyst at Sophos. “Data was stolen in a subset of intrusions, but we did not observe behavior typically associated with espionage-focused actors, like long-term persistence, efforts at covert access, or targeted intelligence collection.”
The attacks were consistent with double-extortion operations that prioritize speed, according to Demboski. 
In at least three cases, the hackers deployed Chaos ransomware on a compromised system. Researchers said in one of the cases, the time between initial access to deployment of ransomware was 17 hours, which is consistent with prior Chaos cases. 
The observed attacks ran between February and June, targeting organizations in the services, manufacturing, energy, construction and engineering sectors.
Chaos ransomware-as-a-service has been active since February 2025 and has been linked to former members of BlackSuit ransomware, according to Sophos. Several of the tactics used in the recent campaign align with prior attacks connected to Chaos, including the use of Microsoft Teams along with Quick Assist for vishing. Prior attacks have also employed DWAgent and AnyDesk for lateral movement, according to Sophos."
2026-08-04 05:53:21,"Published July 29, 2026",CyberSecurityDive,https://www.cybersecuritydive.com/,https://www.cybersecuritydive.com/news/data-breach-costs-ai-governance-ibm/826463/,"As data breaches grow costlier, ungoverned AI creates new risks","Dive Brief:

Half of organizations that experienced a data breach in 2025 are using AI agents to hunt for threats, but fewer than one in five of those organizations are using agents for the task for which they’re most suited: scanning for and managing vulnerabilities on a network.
That data point comes from IBM’s 2026 Cost of a Data Breach Report, which also found that 85% of breached organizations plan to spend more money on “security tools and governance.”
The report, published on Wednesday, also covers businesses’ use of AI agents in security operations centers, organizations’ post-quantum cryptographic migrations and ways to reduce breach costs.

Dive Insight:
Data breaches now cost businesses an average of $5 million, according to the new report, a 12% increase over the figure from IBM’s 2025 research. Some attacks on AI tools cost businesses much more — inversion and prompt-injection attacks cost organizations an average of roughly $6 million.
“Unlike traditional exploits that compromise systems, these behavioral attacks undermine how AI models reason and respond,” IBM researchers wrote, “expanding remediation beyond technical recovery into trust and governance.”
The vast majority (92%) of organizations that suffered attacks on their AI models failed to properly control access to those tools, even as businesses describe identity management as one of their best defenses against costly breaches. Only four in 10 organizations said they limited access to their AI systems.
Identity controls “have failed to keep pace” with AI’s sprawl across corporate networks, IBM researchers said. “The outcome is predictable: expanded attack paths, higher financial impact and incidents driven by basic enforcement gaps that don’t even require attacker sophistication.”
Organizations in the U.S. faced higher breach costs than their international counterparts, according to the report, with the healthcare sector experiencing the costliest attacks.
Even as AI increasingly attracts corporate executives’ attention, basic cybersecurity principles still define the attack landscape. On-premises systems experienced more breaches than private cloud, public cloud, or hybrid environments, and most victims failed to encrypt their data, making it more attractive to thieves.
Governance is the missing piece when it comes to AI, according to the report, whose findings echoed a long line of research showing that companies are adopting AI before they know how to manage it. The share of security incidents involving shadow AI more than doubled year over year, to 43%, with the average cost of those breaches also increasing. More than two-thirds of organizations said they didn’t have governance processes in place to limit shadow AI, a slight uptick from the 2025 figure.
IBM’s report is based on a study of 602 organizations that experienced data breaches between March 2025 and February 2026, with respondents representing 17 industries in 16 countries."
2026-08-04 05:53:20,"Published July 28, 2026",CyberSecurityDive,https://www.cybersecuritydive.com/,https://www.cybersecuritydive.com/news/authorities-investigating-a-coordinated-cyberattack-against-minnesota-water/826427/,Authorities investigating a coordinated cyberattack against Minnesota water systems,"Federal and state authorities are investigating what they call a coordinated cyberattack over two days against operational technology at more than 30 community water systems in Minnesota. 
Minnesota IT Services (MNIT), the state agency in charge of information technology, said it is coordinating with various state and federal agencies and private sector partners to respond to the attacks. 
John Israel, assistant commissioner at MNIT and the chief information security officer in Minnesota, said authorities were actively working with partners to restore operations and provide other services. 
Nate George, the mayor of Braham, Minn., said the attack should serve as a wake-up call to state lawmakers. 

“Minnesota’s local governments are expected to defend essential systems against foreign adversaries and sophisticated criminals, often with limited staff, aging technology and inadequate resources,” he said in a post on X.
He added that Braham was prepared for such an attack, using strong internal controls, routine monitoring, back systems and a swift response by local employees.   
The coordinated attacks took place over two days, starting on Sunday, according to authorities. There is no evidence that local officials have instructed residents to modify their usage of drinking water, MNIT said. 
In a statement posted on their  official website, authorities in South St. Paul, Minn., said they identified a cyberattack on Monday that impacted certain automated controls. 
After implementing contingency procedures, officials confirmed no major impact to drinking and wastewater treatment operations. Drinking water remains safe for use. Staff are monitoring their systems and taking additional measures to restore normal automated operations. 
Federal response
Authorities, including the FBI, the Environmental Protection Agency and the Cybersecurity and Infrastructure Security Agency, are coordinating with local utilities to assess the immediate impact of the attacks, share threat information and remediate any damage. 
“The FBI is aware of the incident and in contact with victims to resolve the matter,” a spokesperson told Cybersecurity Dive via email.
The attacks come days after U.S. agencies warned that state-linked hackers were widening their targeting of programmable logic controllers from Rockwell Automation and other makers, following a series of attacks that took place earlier this year. 
Iran-linked hackers have been exploiting vulnerable devices in an effort to disrupt a series of critical infrastructure providers, including drinking water, wastewater treatment and energy companies.

“CISA is aware of multiple potential incidents affecting local water utilities and is coordinating with the EPA and other government and industry partners to understand the scope and provide any information or technical support to help critical infrastructure owners and operators protect their systems,” said Nick Andersen, acting director at CISA. 
Andersen said organizations should review prior guidance on the agency website, including interagency guidance released last week on how to secure PLCs used by water utilities. CISA is asking security teams to report any suspected incidents or unusual activity directly to the agency. 
Government authorities have not attributed the Minnesota attacks to any one group. Prior targeting of Rockwell Automation FactoryTalk software has been linked to a threat cluster connected to CyberAv3ngers, a threat group associated with Iranian intelligence.
Officials at CISA and the EPA were not immediately available for comment, but are actively looking into the matter.
Editor’s note: Updates story with comment from the FBI and CISA."
